date,ticker,action,price
2021-10-29,SBIN,BUY,502.14999
2021-11-08,INFY,BUY,1737.5
2021-11-10,HDFCBANK,SELL,1555.25
2021-11-11,ICICIBANK,SELL,771.45001
2021-11-12,RELIANCE,BUY,1177.08463184
2021-11-12,BHARTIARTL,SELL,743.5
2021-11-15,ITC,BUY,224.75137985
2021-11-15,BHARTIARTL,BUY,737.54999
2021-11-17,RELIANCE,SELL,1118.482288
2021-11-18,BHARTIARTL,SELL,714.34998
2021-11-22,ITC,SELL,217.95501546
2021-11-22,BHARTIARTL,BUY,742.09998
2021-11-22,SBIN,SELL,486.39999
2021-11-22,BAJFINANCE,SELL,7058.2998
2021-11-23,ITC,BUY,218.61579015
2021-11-26,ITC,SELL,211.44186045
2021-12-02,RELIANCE,BUY,1127.03890447
2021-12-03,RELIANCE,SELL,1093.17571837
2021-12-03,BHARTIARTL,SELL,718.34998
2021-12-08,ICICIBANK,BUY,753.40002
2021-12-08,SBIN,BUY,491.54999
2021-12-08,BAJFINANCE,BUY,7361.5
2021-12-09,RELIANCE,BUY,1115.05512027
2021-12-09,ICICIBANK,SELL,755.0
2021-12-09,ITC,BUY,222.20273141
2021-12-09,SBIN,SELL,488.64999
2021-12-09,BAJFINANCE,SELL,7440.2998
2021-12-10,RELIANCE,SELL,1116.18994403
2021-12-10,ICICIBANK,BUY,758.0
2021-12-10,ITC,SELL,222.8635061
2021-12-10,SBIN,BUY,494.70001
2021-12-10,BAJFINANCE,BUY,7452.5
2021-12-13,ITC,BUY,221.44760078
2021-12-13,BAJFINANCE,SELL,7218.75
2021-12-15,ITC,SELL,211.48905729
2021-12-17,ICICIBANK,SELL,728.29999
2021-12-17,SBIN,SELL,467.79999
2021-12-23,INFY,SELL,1857.6
2021-12-24,INFY,BUY,1863.5
2021-12-27,ICICIBANK,BUY,736.0
2021-12-28,ICICIBANK,SELL,735.79999
2021-12-29,ICICIBANK,BUY,735.70001
2021-12-30,ICICIBANK,SELL,735.70001
2021-12-31,ICICIBANK,BUY,740.15002
2022-01-03,TCS,BUY,3817.75
2022-01-03,SBIN,BUY,470.79999
2022-01-04,SBIN,SELL,483.5
2022-01-05,ICICIBANK,SELL,788.04999
2022-01-05,SBIN,BUY,492.39999
2022-01-06,ICICIBANK,BUY,785.04999
2022-01-17,BHARTIARTL,BUY,728.59998
2022-01-19,BHARTIARTL,SELL,703.70001
2022-01-20,BHARTIARTL,BUY,715.40002
2022-01-21,INFY,SELL,1785.7
2022-01-24,BHARTIARTL,SELL,689.90002
2022-01-25,BHARTIARTL,BUY,711.84998
2022-01-27,TCS,SELL,3649.25
2022-01-27,SBIN,SELL,528.95001
2022-01-28,SBIN,BUY,523.45001
2022-02-02,TCS,BUY,3856.2
2022-02-11,TCS,SELL,3694.95
2022-02-14,ICICIBANK,SELL,753.70001
2022-02-14,BHARTIARTL,SELL,689.70001
2022-02-14,SBIN,SELL,501.39999
2022-02-15,TCS,BUY,3817.8
2022-02-15,SBIN,BUY,524.79999
2022-02-16,BHARTIARTL,BUY,721.79999
2022-02-22,TCS,SELL,3586.3999
2022-02-22,BHARTIARTL,SELL,699.25
2022-02-22,SBIN,SELL,498.39999
2022-03-17,ITC,BUY,231.17013174
2022-03-22,INFY,BUY,1887.4
2022-03-29,RELIANCE,BUY,1190.45281023
2022-04-01,BHARTIARTL,BUY,758.5
2022-04-05,TCS,BUY,3814.8
2022-04-06,INFY,SELL,1828.85
2022-04-06,ITC,SELL,245.04602271
2022-04-07,TCS,SELL,3684.1499
2022-04-07,ITC,BUY,242.26139004
2022-04-07,SBIN,BUY,514.95001
